ttl,rttMean,rttPrev,latitud,longitud
1,192.168.0.1,48.700759285374694,0.0,noLocAv,noLocAvc
2,10.32.32.1,54.758310317993164,6.05755103261847,noLocAv,noLocAvc
3,100.72.4.2,63.544511795043945,8.786201477050781,noLocAv,noLocAvc
4,192.168.64.122,55.35578727722168,-8.188724517822266,noLocAv,noLocAvc
5,0,0,0,0,0
6,10.242.12.18,55.40108680725098,0.045299530029296875,noLocAv,noLocAvc
7,0,0,0,0,0
8,185.70.203.40,67.37709045410156,11.976003646850586,-34.6131,-58.3772
9,0,0,0,0,0
10,149.3.183.105,263.1721496582031,195.79505920410156,51.5085,-0.1257
