ttl,rttMean,rttPrev,latitud,longitud
1,192.168.0.1,50.91807716771176,0.0,noLocAv,noLocAvc
2,10.32.32.1,55.43780326843262,4.51972610072086,noLocAv,noLocAvc
3,100.72.4.0,59.355735778808594,3.9179325103759766,noLocAv,noLocAvc
4,192.168.64.122,63.46011161804199,4.104375839233398,noLocAv,noLocAvc
5,100.72.9.185,87.12029457092285,23.66018295288086,noLocAv,noLocAvc
6,10.242.12.18,51.71322822570801,-35.407066345214844,noLocAv,noLocAvc
7,200.0.17.157,83.28509330749512,31.57186508178711,-34.6131,-58.3772
8,0,0,0,0,0
9,184.104.195.22,275.4960060119629,192.21091270446777,-23.5475,-46.6361
10,184.104.188.150,199.3999481201172,-76.0960578918457,40.7895,-74.0565
