ttl,rttMean,rttPrev,latitud,longitud
1,192.168.0.1,51.703754224275286,0.0,noLocAv,noLocAvc
2,10.32.32.1,55.359840393066406,3.65608616879112,noLocAv,noLocAvc
3,100.72.4.2,51.37920379638672,-3.9806365966796875,noLocAv,noLocAvc
4,0,0,0,0,0
5,100.72.9.185,75.56724548339844,24.18804168701172,noLocAv,noLocAvc
6,10.242.12.18,51.57017707824707,-23.997068405151367,noLocAv,noLocAvc
7,200.32.127.102,71.36249542236328,19.79231834411621,-34.6131,-58.3772
8,200.32.127.101,75.59013366699219,4.227638244628906,-34.6131,-58.3772
9,0,0,0,0,0
10,200.186.40.130,83.45198631286621,7.861852645874023,-33.4569,-70.6483
11,0,0,0,0,0
12,64.76.143.170,63.17949295043945,-20.272493362426758,-33.4569,-70.6483
